"Id";"Descricao"
"1";"Recebida"
"2";"Em Análise"
"3";"Respondida"
"4";"Não Resolvida"
"5";"Resolvida"
"6";"Vencida"
"7";"Prorrogada"
"8";"Inválida"
"9";"Vencida após prorrogação"
"10";"Não resolvida após resposta complementar"
"11";"Resolvida após resposta complementar"
