"Id";"Descricao"
"1";"Denúncia"
"2";"Reclamação"
"3";"Solicitação"
"4";"Sugestão"
"5";"Informação"
"6";"Elogio"
"999";"Valor utilizado quando a robô IZA estiver indisponível"
