"Id";"Descricao";"TipoUnidade_id";"Ativo";"NomeExibicao"
"01052";"NOVACAP - Companhia Urbanizadora da Nova Capital do Brasil";"3";"1";"NOVACAP"
"01052001";"DPJ-Departamento de Parques e Jardins";"4";"1";"DPJ/DU"
"01052002";"DEINFRA-Departamento de Infraestrutura Urbana";"4";"1";"DEINFRA/DU"
"01052003";"DEINFRA";"4";"0";"DEINFRA"
"01052004";"SEMARB/DPJ";"4";"1";"SEMARB"
"01052005";"NOVACAP - Denúncias";"4";"1";"NOVACAP - Denúncias"
"01053";"CBMDF - Corpo de Bombeiros Militar do Distrito Federal";"3";"1";"CBMDF"
"01053001";"GABOUVID-Gabinete do Ouvidor/CBMDF";"4";"1";"OUVID/CBMDF"
"01053002";"NHGAM-Box Na Hora Gama/CBMDF";"4";"0";"NHGAM/OUVID/CBMDF"
"01053003";"NHBSB-Box Na Hora Rodoviária/CBMDF";"4";"1";"NHBSB/OUVID/CBMDF"
"01053004";"NHCEI-Box Na Hora Ceilândia/CBMDF";"4";"0";"NHBSB/OUVID/CBMDF"
"01053005";"NHTAG-Box Na Hora Taguatinga/CBMDF";"4";"1";"NHTAG/OUVID/CBMDF"
"01054";"DPDF - Defensoria Pública do Distrito Federal";"3";"1";"DPDF"
"01055";"DER - Departamento de Estradas de Rodagem";"3";"1";"DER"
"01055001";"SUPERINTENDÊNCIA DE OPERAÇÕES / SUOPER-DER";"4";"1";""
"01055001001";"Diretoria de Produção Industria - DIPIN / DER";"4";"0";"dipin"
"01055001002";"Diretoria de Manutenção de Materiais - DEMAT / DER";"4";"1";""
"01055001003";"Diretoria de Faixas de Domínio - DIDOM / DER";"4";"1";""
"01055001003001";"Gerência de Fiscalização de Faixas de Domínio - GFFAD / DER";"4";"1";"GFFAD"
"01055001004";"Diretoria de Produção Industrial - DIPIS / DER";"4";"1";"DIPIS/DER-DF"
"01055001005";"Diretoria de Equipamentos, Manutenção e Transporte - DEMAT / DER-DF";"4";"0";"DEMAT / DER-DF"
"01055001006";"Diretoria de Faixa de Domínio - DIDOM / DER-DF";"4";"0";"DIDOM / DER-DF"
"01055002";"SUPERINTENDÊNCIA DE OBRAS / SUOBRA-DER";"4";"1";""
"01055002001";"4º Distrito Rodoviário DER";"4";"1";"4° DR"
"01055002002";"3º Distrito Rodoviário DER";"4";"1";"3º Distrito Rodoviár"
"01055002003";"2º Distrito Rodoviário DER";"4";"1";"2º Distrito Rodoviár"
"01055002004";"1° Distrito Rodoviário DER";"4";"1";""
"01055002005";"5º Distrito Rodoviário DER";"4";"1";""
"01055003";"SUPERINTENDÊNCIA TÉCNICA / SUTEC-DER";"4";"1";""
"01055003001";"Diretoria de Estudos e Projetos - DIREP / DER";"4";"1";"DIREP"
"01055003002";"Diretoria de Tecnologia - DITEC / DER";"4";"1";"DITEC"
"01055003003";"Diretoria de Meio Ambiente - DIMAM / DER";"4";"1";"DIMAM"
"01055003004";"Diretoria de Estruturas - DIEST";"4";"1";"DIEST"
"01055003005";"Diretoria de Estruturas - DIORC";"4";"1";"DIORC"
"01055004";"SUPERINTENDÊNCIA DE TRÂNSITO / SUTRAN-DER";"4";"1";"SUTRAN-DER"
"01055004001";"Diretoria de Engenharia de Trânsito - DIRET/DER";"4";"1";"DIRET/DER"
"01055004001001";"Gerência de Engenharia e Segurança Viária - GESEV/DER";"4";"0";"GESEV - DER"
"01055004001001001";"Núcleo de Auditoria Viária e Acidentes - NUCAV/DER";"4";"1";"NUCAV/DER"
"01055004001002";"Gerência de Projetos de Engenharia de Tráfego - GEPET/DER";"4";"1";"GEPET/DER"
