"Id";"Descricao"
"1";"Agricultura e Abastecimento"
"2";"Cultura"
"3";"Desenvolvimento Social"
"4";"Educação, Ciência e Tecnologia"
"5";"Esporte e Lazer"
"6";"Finanças"
"7";"Habitação, Urbanismo e Meio Ambiente"
"8";"Justiça, Segurança e Cidadania"
"9";"Saneamento e Energia"
"10";"Saúde"
"11";"Trabalho e Empreendedorismo"
"12";"Transporte e Mobilidade"
"13";"Administração Pública"
"14";"Zeladoria"
